km,elevation
0,6.0
5,2.0
10,3.3074790996686922
15,1.0
20,0.0
25,7.1662250396620015
30,2.0
35,1.0
40,4.434628959129595
45,4.0
50,5.0
55,2.170102919068889
60,3.3581111938387873
65,4.011574099219157
70,1.790693683776968
75,3.262009526176761
80,3.719099740920349
85,4.839078495516389
90,3.156922098138588
95,8.721340956250813
100,3.0
105,3.0
110,2.0
115,2.789725266029854
120,4.662385744626298
125,2.0
130,6.0
135,13.0
140,13.0
145,17.0
150,22.0
155,25.0
160,20.2414858129611
165,23.35091958908088
170,19.0
175,22.249985857134327
180,27.0
185,32.0
190,19.0
195,13.15946894094078
200,11.0
205,15.0
210,10.182882703362113
215,17.276330882502943
220,23.0
225,21.0
230,17.0
235,14.0
240,18.22441845654169
245,31.435940013725656
250,17.0
255,42.0
260,57.44751015526712
265,25.0
270,19.449849876126372
275,22.0
280,31.0
285,25.80328511063709
290,28.271794224296375
295,34.0
300,30.0
305,27.0
310,32.0
315,40.46532277014463
320,45.16123255972537
325,48.0
330,61.35826408246509
335,84.17518892622674
340,91.0
345,74.0
350,72.0
355,97.8067442451243
360,56.07387613166169
365,47.0
370,68.0
375,49.861336786374785
380,67.0
385,87.20283188012353
390,110.8555939880035
395,112.40008752049056
400,54.55742330368408
405,89.56627678337207
410,129.0
415,152.0
420,257.96633619731807
425,187.3320115106723
430,199.05976100298187
435,111.19750995789988
440,324.7465169805892
445,319.3335592736159
450,321.0937708640789
455,309.26020190246817
460,458.56113967428155
465,562.4407238791391
470,496.0
475,382.90130043101414
480,568.7985452251327
485,546.0
490,398.4392973068724
495,491.97601562685156
500,524.644534845462
505,461.8491181893232
510,477.3224570444632
515,372.43878654753127
520,424.9302754973679
525,327.0
530,312.0
535,305.9708624550284
540,301.42218490056587
545,322.1876322997476
550,380.4598498468487
555,244.1736325321122
560,240.305409307906
565,459.5139087547357
570,304.0
575,255.15647766931903
580,401.95969151318616
585,206.88987248199246
590,299.1142016031926
595,337.1206027721035
600,320.7210329315218
605,317.0
610,354.0
615,294.5131787435033
620,188.0
625,174.42066961878186
630,242.37576925844385
635,227.3846859486882
640,248.57532126429462
645,131.0
650,190.0
655,213.6619569148344
660,209.93158911420306
665,195.02044713706547
670,279.0
675,193.51839201458074
680,207.66692381654462
685,169.0
690,174.0
695,188.50249382612756
700,182.0
