Longitude,Latitude,Elevation Meters
4.126704,51.977083,6
4.126678,51.97713,6
4.126772,51.977146,6
4.126903,51.977214,6
4.126971,51.977244,6
4.127133,51.977288,6
4.127212,51.97731,6
4.127315,51.977333,6
4.127405,51.977353,7
4.127494,51.977375,6
4.127254,51.977773,7
4.127134,51.977961,6
4.127091,51.978076,6
4.127016,51.978183,6
4.127772,51.978434,5
4.127947,51.978489,5
4.128071,51.97853,5
4.128021,51.978606,5
4.127974,51.978665,5
4.127923,51.978731,4
4.127867,51.978796,4
4.127766,51.978972,3
4.1276,51.9791,3
4.127402,51.979154,3
4.126953,51.979202,3
4.127124,51.979353,3
4.127264,51.979506,3
4.1273,51.9796,3
4.1274,51.9798,3
4.1275,51.9798,3
4.1281,51.9797,3
4.1283,51.9797,3
4.1286,51.9798,3
4.1288,51.9798,3
4.129,51.9799,3
4.129309,51.979847,4
4.129311,51.979905,5
4.129301,51.979981,5
4.129254,51.980041,5
4.129233,51.980093,6
4.129235,51.980146,7
4.129247,51.980212,8
4.129288,51.980451,10
4.129275,51.980496,11
4.129213,51.980547,12
4.129141,51.980578,12
4.129054,51.980593,11
4.128934,51.980607,10
4.128826,51.980623,10
4.128623,51.980679,10
4.128327,51.980794,9
4.128087,51.980862,9
4.127963,51.980863,9
4.12777,51.980848,10
4.127599,51.980844,11
4.12747,51.980861,10
4.127363,51.9809,9
4.127249,51.981,7
4.1271,51.9811,6
4.126943,51.981145,6
4.126991,51.981193,6
4.12701,51.981244,6
4.12706,51.981324,6
4.127106,51.981377,6
4.127015,51.981482,6
4.12688,51.981557,6
4.126546,51.981761,5
4.126293,51.981881,5
4.126376,51.981957,5
4.125856,51.98226,5
4.1255,51.982453,5
4.125643,51.982549,4
4.125929,51.982746,4
4.126256,51.982939,3
4.126856,51.983249,3
4.126933,51.983301,3
4.127081,51.983401,2
4.127124,51.983496,2
4.127227,51.983725,2
4.1278,51.984135,2
4.127946,51.984195,2
4.128649,51.984285,2
4.129068,51.98434,2
4.12972,51.984435,2
4.129827,51.984481,2
4.129943,51.984538,2
4.129848,51.984605,2
4.129712,51.984724,2
4.12985,51.985055,1
4.130172,51.985521,1
4.130431,51.985872,1
4.131189,51.986079,1
4.131302,51.986263,1
4.131367,51.986373,1
4.131391,51.986451,1
4.131535,51.986556,2
4.131627,51.986593,2
4.131747,51.986612,2
4.132132,51.986604,5
4.132514,51.986593,5
4.132607,51.986576,4
4.132688,51.986519,4
4.132738,51.986455,5
4.132971,51.986345,4
4.133338,51.986195,3
4.133837,51.985911,3
4.134143,51.985704,3
4.134284,51.985599,4
4.13446,51.985502,4
4.134949,51.985254,5
4.135127,51.98518,4
4.13519,51.985154,4
4.135428,51.985066,5
4.135493,51.985042,5
4.135607,51.985018,6
4.135696,51.984984,5
4.135856,51.984914,4
4.135987,51.984827,4
4.13616,51.98475,6
4.136817,51.98455,5
4.137219,51.984401,7
4.137839,51.984205,7
4.137871,51.984086,7
4.138011,51.98394,5
4.138354,51.983805,5
4.138788,51.983656,6
4.139108,51.983547,5
4.139298,51.983494,5
4.139585,51.983392,5
4.139717,51.983346,5
4.140854,51.982992,5
4.141123,51.982915,5
4.141393,51.982985,4
4.141639,51.983013,3
4.142136,51.982837,3
4.142665,51.982662,2
4.142791,51.982622,2
4.143612,51.982368,1
4.143857,51.982292,3
4.144426,51.982104,2
4.144319,51.981982,2
4.144098,51.981836,1
4.143814,51.981657,1
4.143179,51.981396,2
4.142614,51.981196,2
4.142845,51.9811,2
4.143309,51.980938,2
4.143742,51.980801,2
